industry,year,sales,import_cost,wage_sum,value_added,employees,manhours,gross_investment
S,1980,83579,55184,13425,28395,180.9,300,
S,1981,82569,54404,14484,28165,174.5,293,
S,1982,97660,66884,15021,30776,176.8,284,
S,1983,115536,80947,16261,34589,167.6,290,
S,1984,128454,88228,18263,40226,168.4,293,
S,1985,136839,91377,20327,45462,176.3,297,
S,1986,132992,80495,21966,52497,177.7,292,
S,1987,143060,87195,23345,55865,185.9,308,
S,1988,155391,93982,25449,61409,192.6,322,
S,1989,172017,106439,27748,65578,191.1,321,
S,1990,181224,111815,29453,69409,185.4,309,
S,1991,173022,101987,28476,71035,173.2,291,
S,1992,159492,92427,27494,67065,157.3,266,
S,1993,173803,102534,26016,71269,144,249,
S,1994,193673,112226,28179,81447,145.4,267,
S,1995,221187,124921,31846,96266,158.3,294,
S,1996,228247,129440,34903,98807,162.3,299,
S,1997,248151,141200,37008,106951,164.6,306,
S,1998,260113,141642,40502,118471,171.2,319,
S,1999,273205,149829,41225,123376,168.9,315,
S,2000,315161,181455,44793,133706,172.3,325,
S,2001,326757,184050,46965,142707,173.4,327,
S,2002,331722,183651,47229,148071,169.5,314,
S,2003,335703,190427,47945,145276,163.4,304,
S,2004,353198,208793,48955,144405,155.9,303,
S,2005,389457,235766,49930,153691,155.2,298,
S,2006,427066,264989,52103,162077,155.3,298,
S,2007,445802,275596,56032,170206,161.5,308,
S,2008,477862,312667,57734,165195,161.3,309,
S,2009,425585,260334,52707,165251,146,267,
S,2010,463169,291500,52751,171669,143.6,272,
S,2011,489911,318898,55894,171013,145.7,282,
S,2012,504515,333690,57646,170825,145.4,277,
S,2013,469223,307184,56997,162039,142.8,268,
S,2014,485765,330980,57057,154785,140.7,263,
S,2015,474171,306030,58697,168141,139.4,259,
S,2016,465369,300469,59444,164900,137.7,260,
S,2017,501482,331501,62343,169981,141.1,264,
S,2018,548166,375984,65123,172182,145,269,
S,2019,579237,389793,67009,189444,144.8,263,
S,2020,543349,358350,65278,184999,142.3,251,
S,2021,630771,450529,69371,180242,143.8,269,
S,2022,855514,607802,71197,247712,146.3,259,
S,2023,825928,587390,73219,238538,145.7,264,
K,1980,65326,51345,9047,13981,165.6,271,
K,1981,70921,56099,9577,14822,158.9,260,
K,1982,80267,65011,9921,15256,154.5,255,
K,1983,88066,71545,10695,16521,152.4,255,
K,1984,99152,80691,11711,18461,153.4,256,
K,1985,106739,85302,12760,21437,149.7,254,
K,1986,113015,89287,13804,23728,151.1,250,
K,1987,116733,90710,14648,26023,152.2,256,
K,1988,125149,98301,16347,26848,155.3,262,
K,1989,134250,104163,17359,30087,151.7,257,
K,1990,139387,106444,18600,32943,149.9,250,
K,1991,136342,100884,18961,35458,142.5,236,
K,1992,133179,96854,19316,36325,140.1,224,
K,1993,138724,103228,19440,35496,126,216,
K,1994,149414,111166,20022,38248,120.5,220,
K,1995,154475,111594,20665,42881,118.2,212,
K,1996,154726,107901,21604,46825,114,207,
K,1997,156018,109684,21838,46334,111.7,195,
K,1998,156912,109439,22734,47473,112.5,196,
K,1999,157400,107394,22999,50006,110.9,194,
K,2000,160634,109098,24415,51536,108.9,194,
K,2001,166061,113083,24900,52978,110.2,193,
K,2002,167920,113226,25158,54694,107.7,187,
K,2003,163875,110411,25432,53464,102.5,180,
K,2004,166511,112873,25165,53638,98.1,176,
K,2005,167723,115296,24795,52427,94.5,169,
K,2006,174118,119979,25178,54139,92.7,163,
K,2007,175949,122235,25113,53714,91.9,157,
K,2008,187743,134730,26087,53013,91.4,159,
K,2009,182311,128288,25852,54023,87.6,149,
K,2010,183357,128625,25664,54732,85.4,151,
K,2011,188362,132696,25847,55666,83.7,145,
K,2012,188937,136202,25776,52735,81.7,140,
K,2013,190154,136242,25757,53912,80.3,137,
K,2014,189219,135132,26223,54087,79.4,136,
K,2015,189238,133003,26822,56235,79.8,136,
K,2016,196743,138993,27006,57750,77.6,133,
K,2017,201341,144857,27629,56484,77.9,137,
K,2018,206263,146279,27754,59984,77.4,129,
K,2019,211544,152547,28157,58997,75.6,125,
K,2020,212531,151505,27842,61026,72.3,119,
K,2021,223251,162364,29141,60887,71.8,118,
K,2022,251874,196310,29641,55564,72.9,117,
K,2023,267593,200414,29827,67179,72.1,116,
V,1980,117998,70626,25477,47372,367.6,564,
V,1981,135062,81159,27556,53903,364.1,556,
V,1982,145746,86706,28920,59040,353.8,548,
V,1983,165552,98718,30413,66834,346.2,546,
V,1984,188841,109901,34074,78940,348.7,562,
V,1985,210153,120779,38115,89374,360.1,579,
V,1986,228216,133314,41685,94902,362.8,577,
V,1987,244427,143323,45259,101104,362.2,585,
V,1988,263768,155545,48236,108223,370.9,602,
V,1989,290639,177393,52738,113246,366.8,580,
V,1990,304507,189438,57585,115069,350.8,575,
V,1991,285979,172055,57229,113924,330.1,536,
V,1992,274084,162812,55587,111272,302.6,499,
V,1993,288854,177463,52817,111391,277.1,473,
V,1994,359462,225733,56666,133729,279.9,501,
V,1995,446838,290438,64608,156400,304.6,561,
V,1996,460305,294557,69202,165748,305.7,563,
V,1997,503364,325175,72965,178189,305.4,554,
V,1998,553635,361512,78612,192123,315.2,573,
V,1999,606188,404934,82771,201254,316.7,581,
V,2000,678485,464840,88561,213645,316,590,
V,2001,682807,486309,94005,196498,325.1,600,
V,2002,656489,454693,93943,201796,315,569,
V,2003,647690,443149,88746,204541,297.4,536,
V,2004,677634,467924,88663,209710,284.5,527,
V,2005,714735,506044,90074,208691,282.1,517,
V,2006,760530,536340,93638,224190,279.5,514,
V,2007,812956,574146,99790,238810,288.3,522,
V,2008,797657,564425,105246,233232,287.2,523,
V,2009,611390,433706,95387,177684,255.6,457,
V,2010,675246,453948,94669,221298,249.3,461,
V,2011,713576,472319,99944,241257,256.4,471,
V,2012,660946,435173,100823,225773,251.3,448,
V,2013,639910,423984,101166,215926,247.2,443,
V,2014,642822,419473,103089,223349,244.6,434,
V,2015,714977,445289,102693,269688,236,419,
